EMPLOYEE ID,NAME,SALARY
E1024,Employee_354,73872
E1075,Employee_329,71956
E1017,Employee_411,148774
E1076,Employee_116,136547
E1074,Employee_384,33863
E1043,Employee_245,143628
E1087,Employee_463,
E1006,Employee_118,
E1073,Employee_555,
E1063,Employee_584,
E1039,Employee_431,130591
E1045,Employee_510,
E1022,Employee_247,
E1097,Employee_34,142577
E1098,Employee_60,
E1099,Employee_83,69890
E1078,Employee_345,
E1030,Employee_460,83178
E1073,Employee_506,95632
E1003,Employee_10,68777
E1062,Employee_358,120677
E1029,Employee_576,
E1037,Employee_490,11534
E1040,Employee_26,84358
E1011,Employee_361,109517
E1089,Employee_357,43906
E1007,Employee_323,22488
E1092,Employee_351,117587
E1039,Employee_4,
E1011,Employee_295,24359
E1008,Employee_174,
E1097,Employee_68,120166
E1089,Employee_446,
E1060,Employee_514,
E1052,Employee_260,15660
E1047,Employee_274,
E1089,Employee_242,
E1097,Employee_414,
E1040,Employee_538,
E1078,Employee_99,
E1096,Employee_561,66037
E1008,Employee_228,
,Employee_126,124862
E1086,Employee_402,62414
E1037,Employee_563,68146
E1092,Employee_469,
E1005,Employee_442,19218
E1051,Employee_596,34136
E1093,Employee_284,
E1047,Employee_195,13418
E1079,Employee_518,113246
E1065,Employee_123,143796
E1051,Employee_480,
E1095,Employee_40,
E1030,Employee_486,54404
E1021,Employee_462,27608
E1016,Employee_54,38495
E1004,Employee_246,
E1035,Employee_383,63851
E1005,Employee_570,
E1035,Employee_537,106378
E1055,Employee_326,
E1095,Employee_499,
E1041,Employee_146,
E1067,Employee_140,35221
E1028,Employee_471,26234
E1007,Employee_251,
E1039,Employee_325,
E1038,Employee_334,109221
E1096,Employee_513,64435
E1096,Employee_207,98263
E1049,Employee_49,57840
E1051,Employee_258,
E1037,Employee_236,
E1021,Employee_241,
E1030,Employee_458,
E1031,Employee_216,
E1016,Employee_197,81093
E1065,Employee_545,
E1060,Employee_531,
E1083,Employee_503,
E1006,Employee_456,120665
E1074,Employee_405,
E1071,Employee_136,
E1070,Employee_92,56273
E1058,Employee_375,
E1067,Employee_497,20687
E1054,Employee_271,137167
E1041,Employee_87,
E1020,Employee_270,
E1081,Employee_189,
E1064,Employee_165,22789
E1014,Employee_19,
E1051,Employee_447,
E1062,Employee_492,
E1023,Employee_155,
E1066,Employee_22,125718
E1051,Employee_548,105679
E1029,Employee_473,118323
E1080,Employee_567,
E1031,Employee_448,
E1016,Employee_179,32636
E1026,Employee_107,
E1054,Employee_100,
E1016,Employee_359,73944
E1021,Employee_592,
E1055,Employee_574,107413
E1032,Employee_299,
,Employee_145,
E1078,Employee_250,
E1024,Employee_366,110240
E1062,Employee_557,
E1000,Employee_194,
E1051,Employee_314,
E1033,Employee_474,
E1090,Employee_37,97649
E1027,Employee_524,
E1065,Employee_348,23646
E1045,Employee_398,113533
E1038,Employee_343,
E1002,Employee_593,144850
E1005,Employee_290,
E1087,Employee_156,
E1054,Employee_196,105807
E1014,Employee_331,
E1005,Employee_143,27641
E1068,Employee_519,122115
E1095,Employee_125,38917
E1024,Employee_192,
E1027,Employee_101,
E1098,Employee_390,109804
E1099,Employee_379,
E1026,Employee_226,34344
E1003,Employee_317,
E1039,Employee_515,
E1055,Employee_41,138033
E1026,Employee_363,140566
E1048,Employee_394,77524
E1030,Employee_14,106249
E1042,Employee_370,11445
E1066,Employee_397,130449
E1000,Employee_88,
E1088,Employee_305,
E1048,Employee_105,
E1099,Employee_27,
E1087,Employee_583,11601
E1048,Employee_588,
E1097,Employee_532,143479
E1024,Employee_104,
E1018,Employee_133,46425
E1008,Employee_28,103749
E1012,Employee_579,53355
E1008,Employee_489,78502
E1073,Employee_224,
E1089,Employee_31,
E1088,Employee_396,113731
E1078,Employee_418,76169
E1084,Employee_393,
E1039,Employee_439,
E1044,Employee_275,90435
E1069,Employee_52,
E1069,Employee_461,142963
E1001,Employee_190,37192
E1081,Employee_231,20890
E1023,Employee_430,
E1069,Employee_350,
E1005,Employee_73,134237
E1097,Employee_69,125660
E1063,Employee_509,
E1007,Employee_139,113681
E1064,Employee_385,69053
E1041,Employee_315,
E1028,Employee_488,123573
E1026,Employee_47,83043
E1012,Employee_493,49333
E1060,Employee_23,73749
E1058,Employee_66,
,Employee_330,
E1005,Employee_227,137190
E1027,Employee_494,
E1036,Employee_373,
E1088,Employee_565,136318
E1085,Employee_25,
E1013,Employee_58,11649
E1098,Employee_340,
E1099,Employee_598,
E1034,Employee_82,
E1056,Employee_223,123653
E1033,Employee_71,42902
E1008,Employee_283,
E1049,Employee_70,
E1097,Employee_253,20023
E1095,Employee_214,141313
E1057,Employee_61,
E1048,Employee_220,
E1058,Employee_599,
E1078,Employee_412,
E1060,Employee_170,30186
E1036,Employee_429,
E1077,Employee_273,67873
E1087,Employee_122,
E1075,Employee_103,65106
E1026,Employee_111,135226
E1049,Employee_540,
E1065,Employee_539,81851
E1029,Employee_115,
E1073,Employee_591,
E1008,Employee_364,18317
E1028,Employee_18,
E1080,Employee_110,
E1029,Employee_55,
E1039,Employee_517,
E1055,Employee_138,124872
E1002,Employee_97,
E1033,Employee_522,149758
E1059,Employee_549,
E1082,Employee_482,41258
E1070,Employee_57,50236
E1017,Employee_203,19100
E1007,Employee_208,125917
E1079,Employee_349,
E1031,Employee_553,
E1052,Employee_11,74839
E1010,Employee_102,
E1090,Employee_35,
E1073,Employee_529,103620
E1066,Employee_464,
E1037,Employee_294,65667
E1002,Employee_199,
E1080,Employee_346,
E1069,Employee_302,
E1020,Employee_175,
E1082,Employee_521,
E1031,Employee_168,51457
E1022,Employee_131,
E1048,Employee_562,34581
E1011,Employee_129,
E1074,Employee_466,47517
,Employee_109,
E1007,Employee_582,115385
E1007,Employee_400,124610
E1095,Employee_128,
E1097,Employee_573,113807
,Employee_292,26211
E1036,Employee_112,103877
E1009,Employee_455,84879
E1045,Employee_56,101798
E1067,Employee_76,64970
E1028,Employee_173,
E1048,Employee_433,
E1047,Employee_505,
E1077,Employee_580,67454
E1041,Employee_502,71204
E1006,Employee_311,102513
E1064,Employee_483,
E1025,Employee_201,140863
E1028,Employee_63,136512
E1024,Employee_457,102401
E1075,Employee_169,143028
E1051,Employee_135,
E1031,Employee_211,84823
E1075,Employee_255,104118
E1057,Employee_32,57126
E1006,Employee_432,117047
E1055,Employee_24,53890
E1053,Employee_288,
E1096,Employee_371,98937
E1010,Employee_257,48536
E1009,Employee_287,70991
E1017,Employee_445,15587
E1065,Employee_15,27884
E1024,Employee_417,71303
E1037,Employee_51,126613
E1024,Employee_569,
E1051,Employee_585,
E1004,Employee_209,105437
E1009,Employee_162,
E1068,Employee_218,80508
E1045,Employee_336,110966
E1095,Employee_319,
E1095,Employee_391,35764
E1013,Employee_212,
E1014,Employee_437,
E1008,Employee_161,129629
E1099,Employee_132,
E1096,Employee_320,40987
E1028,Employee_210,
E1043,Employee_234,
E1050,Employee_281,
E1070,Employee_205,
E1022,Employee_262,
E1070,Employee_572,101343
E1031,Employee_381,75608
E1008,Employee_380,
E1072,Employee_316,26134
E1056,Employee_484,15911
E1056,Employee_420,
E1012,Employee_452,
E1095,Employee_434,
E1082,Employee_536,93341
E1084,Employee_238,
E1098,Employee_8,
E1090,Employee_78,55100
E1076,Employee_470,
E1016,Employee_1,139515
E1095,Employee_485,68978
E1042,Employee_167,
E1030,Employee_516,27264
E1027,Employee_590,
E1022,Employee_530,
